municipalidad;codigo_portal;municipalidad_id;region
Pichilemu;MU219;6201;O'Higgins
Pinto;MU220;16106;Ñuble
Pirque;MU221;13202;Metropolitana
Pitrufquén;MU222;9114;Araucanía
Placilla;MU223;6308;O'Higgins
Portezuelo;MU224;16205;Ñuble
Porvenir;MU225;12301;Magallanes
Pozo Almonte;MU226;1401;Tarapacá
Primavera;MU227;12302;Magallanes
Providencia;MU228;13123;Metropolitana
Puchuncaví;MU229;5105;Valparaíso
Pucón;MU230;9115;Araucanía
Pudahuel;MU231;13124;Metropolitana
Puente Alto;MU232;13201;Metropolitana
Puerto Montt;MU233;10101;Los Lagos
Puerto Natales;MU234;12401;Magallanes
Puerto Octay;MU235;10302;Los Lagos
Puerto Varas;MU236;10109;Los Lagos
Pumanque;MU237;6309;O'Higgins
Punitaqui;MU238;4304;Coquimbo
Punta Arenas;MU239;12101;Magallanes
Puqueldón;MU240;10206;Los Lagos
Purén;MU241;9208;Araucanía
Purranque;MU242;10303;Los Lagos
Putaendo;MU243;5705;Valparaíso
Putre;MU244;15201;Arica y Parinacota
Puyehue;MU245;10304;Los Lagos
Queilén;MU246;10207;Los Lagos
Quellón;MU247;10208;Los Lagos
Quemchi;MU248;10209;Los Lagos
Quilaco;MU249;8308;Bíobío
Quilicura;MU250;13125;Metropolitana
Quilleco;MU251;8309;Bíobío
Quillón;MU252;16107;Ñuble
Quillota;MU253;5501;Valparaíso
Quilpué;MU254;5801;Valparaíso
Quinchao;MU255;10210;Los Lagos
Quinta de Tilcoco;MU256;6114;O'Higgins
Quinta Normal;MU257;13126;Metropolitana
Quintero;MU258;5107;Valparaíso
Quirihue;MU259;16201;Ñuble
Rancagua;MU260;6101;O'Higgins
Ránquil;MU261;16206;Ñuble
Rauco;MU262;7305;Maule
Recoleta;MU263;13127;Metropolitana
Renaico;MU264;9209;Araucanía
Renca;MU265;13128;Metropolitana
Rengo;MU266;6115;O'Higgins
Requínoa;MU267;6116;O'Higgins
Retiro;MU268;7405;Maule
Rinconada;MU269;5303;Valparaíso
Río Bueno;MU270;14204;Los Ríos
Río Claro;MU271;7108;Maule
Río Hurtado;MU272;4305;Coquimbo
Río Ibáñez;MU273;11402;Aisén
Río Negro;MU274;10305;Los Lagos
Río Verde;MU275;12103;Magallanes
Romeral;MU276;7306;Maule
Saavedra;MU277;9116;Araucanía
Sagrada Familia;MU278;7307;Maule
Salamanca;MU279;4204;Coquimbo
San Antonio;MU280;5601;Valparaíso
San Bernardo;MU281;13401;Metropolitana
San Carlos;MU282;16301;Ñuble
San Clemente;MU283;7109;Maule
San Esteban;MU284;5304;Valparaíso
San Fabián;MU285;16304;Ñuble
San Felipe;MU286;5701;Valparaíso
San Fernando;MU287;6301;O'Higgins
San Gregorio;MU288;12104;Magallanes
San Ignacio;MU289;16108;Ñuble
San Javier;MU290;7406;Maule
San Joaquín;MU291;13129;Metropolitana
San José de Maipo;MU292;13203;Metropolitana
San Juan de la Costa;MU293;10306;Los Lagos
San Miguel;MU294;13130;Metropolitana
San Nicolás;MU295;16305;Ñuble
San Pablo;MU296;10307;Los Lagos
San Pedro;MU297;13505;Metropolitana
San Pedro de Atacama;MU298;2203;Antofagasta
San Pedro De La Paz;MU299;8108;Bíobío
San Rafael;MU300;7110;Maule
San Ramón;MU301;13131;Metropolitana
San Rosendo;MU302;8310;Bíobío
San Vicente;MU303;6117;O'Higgins
Santa Bárbara;MU304;8311;Bíobío
Santa Cruz;MU305;6310;O'Higgins
Santa Juana;MU306;8109;Bíobío
Santa María;MU307;5706;Valparaíso
Santiago;MU308;13101;Metropolitana
Santo Domingo;MU309;5606;Valparaíso
Sierra Gorda;MU310;2103;Antofagasta
Talagante;MU311;13601;Metropolitana
Talca;MU312;7101;Maule
Talcahuano;MU313;8110;Bíobío
Taltal;MU314;2104;Antofagasta
Temuco;MU315;9101;Araucanía
Teno;MU316;7308;Maule
Teodoro Schmidt;MU317;9117;Araucanía
Tierra Amarilla;MU318;3103;Atacama
Tiltil;MU319;13303;Metropolitana
Timaukel;MU320;12303;Magallanes
Tirúa;MU321;8207;Bíobío
Tocopilla;MU322;2301;Antofagasta
Toltén;MU323;9118;Araucanía
Tomé;MU324;8111;Bíobío
Torres del Paine;MU325;12402;Magallanes
Tortel;MU326;11303;Aisén
Traiguén;MU327;9210;Araucanía
Trehuaco;MU328;16207;Ñuble
Tucapel;MU329;8312;Bíobío
Valdivia;MU330;14101;Los Ríos
Vallenar;MU331;3301;Atacama
Valparaíso;MU332;5101;Valparaíso
Vichuquén;MU333;7309;Maule
Victoria;MU334;9211;Araucanía
Vicuña;MU335;4106;Coquimbo
Vilcún;MU336;9119;Araucanía
Villa Alegre;MU337;7407;Maule
Villa Alemana;MU338;5804;Valparaíso
Villarrica;MU339;9120;Araucanía
Viña del Mar;MU340;5109;Valparaíso
Vitacura;MU341;13132;Metropolitana
Yerbas Buenas;MU342;7408;Maule
Yumbel;MU343;8313;Bíobío
Yungay;MU344;16109;Ñuble
Zapallar;MU345;5405;Valparaíso
